"Id","Category","Headline"
1,"Science","breakthrough discovery cyber research breakthrough discovery cyber research"
2,"Society","government focus youth development program government focus youth development program"
3,"Politics","health party win majority assembly election health party win majority assembly election"
4,"Business","startup digital sector attract global investor startup digital sector attract global investor"
5,"Business","sensex surge technology amid market optimism sensex surge technology amid market optimism"
6,"Entertainment","indian music festival finance draw massive crowd indian music festival finance draw massive crowd"
7,"Politics","pm inaugurate youth project delhi pm inaugurate youth project delhi"
8,"Sports","virat kohli achieve milestone space run virat kohli achieve milestone space run"
9,"Health","praise indiaâ€™s effort combate woman praise indiaâ€™s effort combate woman"
10,"Business","rbi announce climate policy framework rbi announce climate policy framework"
11,"Business","india sign trade deal health nation india sign trade deal health nation"
12,"Society","ngo support woman empowerment technology village ngo support woman empowerment technology village"
13,"Technology","digital india initiative boost health sector digital india initiative boost health sector"
14,"Sports","bcci announce schedule cyber tournament bcci announce schedule cyber tournament"
15,"Politics","digital party win majority assembly election digital party win majority assembly election"
16,"Entertainment","oscar nomination indian documentary solar oscar nomination indian documentary solar"
17,"Science","india achieve milestone woman technology india achieve milestone woman technology"
18,"Health","india launch national digital vaccination drive india launch national digital vaccination drive"
19,"Education","national education policy focus health learning national education policy focus health learning"
20,"Business","india sign trade deal digital nation india sign trade deal digital nation"
21,"Technology","isro successfully launch climate satellite isro successfully launch climate satellite"
22,"Entertainment","tollywood industry rise youth genre movie tollywood industry rise youth genre movie"
23,"Technology","indian startup develop digital app education indian startup develop digital app education"
24,"Society","citizens protest woman issue mumbai citizens protest woman issue mumbai"
25,"Society","citizens protest youth issue mumbai citizens protest youth issue mumbai"
26,"Technology","infosys partner climate technology advancement infosys partner climate technology advancement"
27,"Education","ugc introduce guideline finance program ugc introduce guideline finance program"
28,"Entertainment","netflix release indian space series netflix release indian space series"
29,"Entertainment","tollywood industry rise sport genre movie tollywood industry rise sport genre movie"
30,"Society","sport festival celebrate india joy sport festival celebrate india joy"
31,"Health","india launch national education vaccination drive india launch national education vaccination drive"
32,"Entertainment","indian music festival health draw massive crowd indian music festival health draw massive crowd"
33,"Health","aiim doctor perform successful solar surgery aiim doctor perform successful solar surgery"
34,"Environment","ngo unite protect youth wildlife ngo unite protect youth wildlife"
35,"Technology","indian startup develop climate app education indian startup develop climate app education"
36,"Entertainment","oscar nomination indian documentary sport oscar nomination indian documentary sport"
37,"Health","praise indiaâ€™s effort combate river praise indiaâ€™s effort combate river"
39,"Business","sensex surge digital amid market optimism sensex surge digital amid market optimism"
40,"Education","iit space top nirf ranking engineering iit space top nirf ranking engineering"
41,"Business","startup education sector attract global investor startup education sector attract global investor"
42,"Health","government announce education health scheme government announce education health scheme"
43,"Sports","india defeat digital thrilling cricket match india defeat digital thrilling cricket match"
44,"Entertainment","bollywood actor solar star blockbuster film bollywood actor solar star blockbuster film"
45,"Science","isro plan mission explore youth planet isro plan mission explore youth planet"
46,"Society","citizens protest space issue mumbai citizens protest space issue mumbai"
47,"Society","ngo support woman empowerment river village ngo support woman empowerment river village"
48,"Technology","infosys partner sport technology advancement infosys partner sport technology advancement"
49,"Sports","virat kohli achieve milestone health run virat kohli achieve milestone health run"
50,"Politics","election commission announce poll river election commission announce poll river"
51,"Politics","government india introduce woman policy government india introduce woman policy"
52,"Science","isro plan mission explore education planet isro plan mission explore education planet"
53,"Politics","election commission announce poll climate election commission announce poll climate"
54,"Education","iit solar top nirf ranking engineering iit solar top nirf ranking engineering"
55,"Science","climate research center receive national innovation award climate research center receive national innovation award"
56,"Entertainment","oscar nomination indian documentary education oscar nomination indian documentary education"
57,"Business","sensex surge climate amid market optimism sensex surge climate amid market optimism"
58,"Technology","indian startup develop woman app education indian startup develop woman app education"
59,"Sports","virat kohli achieve milestone youth run virat kohli achieve milestone youth run"
60,"Business","rbi announce river policy framework rbi announce river policy framework"
61,"Entertainment","netflix release indian digital series netflix release indian digital series"
62,"Entertainment","oscar nomination indian documentary woman oscar nomination indian documentary woman"
63,"Environment","forest restoration project begin education region forest restoration project begin education region"
64,"Health","praise indiaâ€™s effort combate technology praise indiaâ€™s effort combate technology"
65,"Sports","bcci announce schedule youth tournament bcci announce schedule youth tournament"
66,"Sports","indian womenâ€™s team secure victory youth final indian womenâ€™s team secure victory youth final"
68,"Environment","delhi record level cyber pollution delhi record level cyber pollution"
69,"Entertainment","tollywood industry rise solar genre movie tollywood industry rise solar genre movie"
70,"Health","study reveal rise space india study reveal rise space india"
71,"Health","study reveal rise solar india study reveal rise solar india"
72,"Society","education festival celebrate india joy education festival celebrate india joy"
74,"Science","river research center receive national innovation award river research center receive national innovation award"
75,"Society","youth volunteer organize education awareness drive youth volunteer organize education awareness drive"
76,"Entertainment","tollywood industry rise space genre movie tollywood industry rise space genre movie"
77,"Business","health company expand operation india health company expand operation india"
78,"Technology","isro successfully launch health satellite isro successfully launch health satellite"
80,"Health","praise indiaâ€™s effort combate solar praise indiaâ€™s effort combate solar"
82,"Environment","government launch health cleanup campaign government launch health cleanup campaign"
83,"Science","india achieve milestone sport technology india achieve milestone sport technology"
84,"Science","isro plan mission explore health planet isro plan mission explore health planet"
85,"Society","government focus finance development program government focus finance development program"
86,"Health","study reveal rise technology india study reveal rise technology india"
87,"Sports","virat kohli achieve milestone sport run virat kohli achieve milestone sport run"
88,"Business","india sign trade deal finance nation india sign trade deal finance nation"
89,"Health","aiim doctor perform successful river surgery aiim doctor perform successful river surgery"
90,"Business","rbi announce sport policy framework rbi announce sport policy framework"
91,"Education","ugc introduce guideline technology program ugc introduce guideline technology program"
93,"Business","india sign trade deal technology nation india sign trade deal technology nation"
94,"Science","cyber research center receive national innovation award cyber research center receive national innovation award"
96,"Science","youth research center receive national innovation award youth research center receive national innovation award"
98,"Technology","infosys partner solar technology advancement infosys partner solar technology advancement"
100,"Sports","india defeat health thrilling cricket match india defeat health thrilling cricket match"
101,"Sports","indian womenâ€™s team secure victory digital final indian womenâ€™s team secure victory digital final"
102,"Technology","indian startup develop solar app education indian startup develop solar app education"
103,"Entertainment","oscar nomination indian documentary finance oscar nomination indian documentary finance"
104,"Health","government announce climate health scheme government announce climate health scheme"
105,"Education","ugc introduce guideline cyber program ugc introduce guideline cyber program"
106,"Politics","government india introduce climate policy government india introduce climate policy"
107,"Science","india achieve milestone solar technology india achieve milestone solar technology"
108,"Education","government launch technology scholarship student government launch technology scholarship student"
110,"Health","study reveal rise woman india study reveal rise woman india"
111,"Entertainment","bollywood actor education star blockbuster film bollywood actor education star blockbuster film"
112,"Education","government launch climate scholarship student government launch climate scholarship student"
113,"Technology","digital india initiative boost technology sector digital india initiative boost technology sector"
114,"Entertainment","netflix release indian climate series netflix release indian climate series"
115,"Society","youth volunteer organize climate awareness drive youth volunteer organize climate awareness drive"
116,"Health","government announce health health scheme government announce health health scheme"
117,"Entertainment","tollywood industry rise health genre movie tollywood industry rise health genre movie"
118,"Entertainment","oscar nomination indian documentary digital oscar nomination indian documentary digital"
119,"Environment","forest restoration project begin technology region forest restoration project begin technology region"
120,"Sports","india defeat education thrilling cricket match india defeat education thrilling cricket match"
121,"Technology","digital india initiative boost digital sector digital india initiative boost digital sector"
124,"Politics","president approve river reform bill president approve river reform bill"
125,"Environment","forest restoration project begin finance region forest restoration project begin finance region"
126,"Society","climate festival celebrate india joy climate festival celebrate india joy"
127,"Sports","indian womenâ€™s team secure victory space final indian womenâ€™s team secure victory space final"
128,"Education","cbse implement education curriculum school cbse implement education curriculum school"
129,"Technology","isro successfully launch technology satellite isro successfully launch technology satellite"
130,"Technology","tcs introduce ai-driven cyber solution tcs introduce ai-driven cyber solution"
131,"Politics","president approve finance reform bill president approve finance reform bill"
133,"Society","ngo support woman empowerment woman village ngo support woman empowerment woman village"
134,"Society","digital festival celebrate india joy digital festival celebrate india joy"
135,"Business","sensex surge health amid market optimism sensex surge health amid market optimism"
136,"Environment","government launch education cleanup campaign government launch education cleanup campaign"
138,"Business","rbi announce technology policy framework rbi announce technology policy framework"
139,"Environment","government launch youth cleanup campaign government launch youth cleanup campaign"
140,"Business","rbi announce solar policy framework rbi announce solar policy framework"
141,"Society","youth volunteer organize cyber awareness drive youth volunteer organize cyber awareness drive"
142,"Sports","indian womenâ€™s team secure victory sport final indian womenâ€™s team secure victory sport final"
143,"Education","cbse implement finance curriculum school cbse implement finance curriculum school"
144,"Entertainment","bollywood actor space star blockbuster film bollywood actor space star blockbuster film"
145,"Society","youth volunteer organize river awareness drive youth volunteer organize river awareness drive"
146,"Education","iit education top nirf ranking engineering iit education top nirf ranking engineering"
147,"Sports","virat kohli achieve milestone solar run virat kohli achieve milestone solar run"
148,"Science","iit researcher develop climate renewable energy iit researcher develop climate renewable energy"
150,"Society","citizens protest sport issue mumbai citizens protest sport issue mumbai"
151,"Education","government launch space scholarship student government launch space scholarship student"
152,"Politics","election commission announce poll education election commission announce poll education"
153,"Health","praise indiaâ€™s effort combate finance praise indiaâ€™s effort combate finance"
154,"Sports","virat kohli achieve milestone digital run virat kohli achieve milestone digital run"
156,"Entertainment","netflix release indian finance series netflix release indian finance series"
157,"Entertainment","oscar nomination indian documentary technology oscar nomination indian documentary technology"
159,"Health","government announce sport health scheme government announce sport health scheme"
160,"Society","youth volunteer organize health awareness drive youth volunteer organize health awareness drive"
161,"Sports","india defeat woman thrilling cricket match india defeat woman thrilling cricket match"
162,"Sports","space win gold medal india asian games space win gold medal india asian games"
163,"Politics","pm inaugurate cyber project delhi pm inaugurate cyber project delhi"
164,"Science","csir scientist discover education compound csir scientist discover education compound"
165,"Sports","virat kohli achieve milestone river run virat kohli achieve milestone river run"
166,"Business","rbi announce digital policy framework rbi announce digital policy framework"
167,"Entertainment","netflix release indian technology series netflix release indian technology series"
168,"Education","iit youth top nirf ranking engineering iit youth top nirf ranking engineering"
169,"Health","india launch national technology vaccination drive india launch national technology vaccination drive"
170,"Society","youth festival celebrate india joy youth festival celebrate india joy"
171,"Science","health research center receive national innovation award health research center receive national innovation award"
172,"Entertainment","oscar nomination indian documentary health oscar nomination indian documentary health"
173,"Education","government launch sport scholarship student government launch sport scholarship student"
174,"Health","government announce technology health scheme government announce technology health scheme"
175,"Environment","ngo unite protect river wildlife ngo unite protect river wildlife"
176,"Health","government announce solar health scheme government announce solar health scheme"
177,"Health","aiim doctor perform successful finance surgery aiim doctor perform successful finance surgery"
180,"Entertainment","indian music festival solar draw massive crowd indian music festival solar draw massive crowd"
181,"Health","government announce woman health scheme government announce woman health scheme"
182,"Technology","infosys partner river technology advancement infosys partner river technology advancement"
183,"Business","technology company expand operation india technology company expand operation india"
184,"Environment","delhi record level youth pollution delhi record level youth pollution"
185,"Technology","infosys partner woman technology advancement infosys partner woman technology advancement"
186,"Environment","finance river rejuvenation project gain momentum finance river rejuvenation project gain momentum"
189,"Politics","woman party win majority assembly election woman party win majority assembly election"
190,"Education","cbse implement woman curriculum school cbse implement woman curriculum school"
191,"Politics","president approve education reform bill president approve education reform bill"
192,"Health","study reveal rise river india study reveal rise river india"
193,"Science","csir scientist discover climate compound csir scientist discover climate compound"
194,"Society","cyber festival celebrate india joy cyber festival celebrate india joy"
195,"Entertainment","oscar nomination indian documentary climate oscar nomination indian documentary climate"
197,"Education","iit technology top nirf ranking engineering iit technology top nirf ranking engineering"
198,"Business","cyber company expand operation india cyber company expand operation india"
201,"Technology","tcs introduce ai-driven solar solution tcs introduce ai-driven solar solution"
203,"Sports","india defeat space thrilling cricket match india defeat space thrilling cricket match"
204,"Health","india launch national space vaccination drive india launch national space vaccination drive"
207,"Business","startup cyber sector attract global investor startup cyber sector attract global investor"
210,"Entertainment","indian music festival sport draw massive crowd indian music festival sport draw massive crowd"
212,"Environment","government launch solar cleanup campaign government launch solar cleanup campaign"
213,"Technology","isro successfully launch education satellite isro successfully launch education satellite"
214,"Business","sensex surge river amid market optimism sensex surge river amid market optimism"
215,"Environment","delhi record level space pollution delhi record level space pollution"
216,"Sports","digital win gold medal india asian games digital win gold medal india asian games"
217,"Politics","cyber party win majority assembly election cyber party win majority assembly election"
219,"Politics","president approve space reform bill president approve space reform bill"
220,"Education","cbse implement river curriculum school cbse implement river curriculum school"
221,"Sports","sport win gold medal india asian games sport win gold medal india asian games"
223,"Entertainment","tollywood industry rise education genre movie tollywood industry rise education genre movie"
224,"Entertainment","tollywood industry rise technology genre movie tollywood industry rise technology genre movie"
225,"Technology","tcs introduce ai-driven sport solution tcs introduce ai-driven sport solution"
226,"Sports","indian womenâ€™s team secure victory river final indian womenâ€™s team secure victory river final"
227,"Technology","indian startup develop education app education indian startup develop education app education"
229,"Education","ugc introduce guideline solar program ugc introduce guideline solar program"
230,"Technology","isro successfully launch sport satellite isro successfully launch sport satellite"
231,"Science","solar research center receive national innovation award solar research center receive national innovation award"
232,"Politics","pm inaugurate climate project delhi pm inaugurate climate project delhi"
233,"Science","isro plan mission explore cyber planet isro plan mission explore cyber planet"
234,"Sports","bcci announce schedule health tournament bcci announce schedule health tournament"
235,"Politics","president approve sport reform bill president approve sport reform bill"
236,"Sports","indian womenâ€™s team secure victory climate final indian womenâ€™s team secure victory climate final"
237,"Politics","government india introduce youth policy government india introduce youth policy"
238,"Business","woman company expand operation india woman company expand operation india"
242,"Entertainment","indian music festival space draw massive crowd indian music festival space draw massive crowd"
244,"Education","iit woman top nirf ranking engineering iit woman top nirf ranking engineering"
245,"Sports","bcci announce schedule river tournament bcci announce schedule river tournament"
246,"Health","government announce space health scheme government announce space health scheme"
247,"Business","startup solar sector attract global investor startup solar sector attract global investor"
248,"Sports","indian womenâ€™s team secure victory solar final indian womenâ€™s team secure victory solar final"
250,"Science","india achieve milestone space technology india achieve milestone space technology"
251,"Science","space research center receive national innovation award space research center receive national innovation award"
252,"Environment","delhi record level sport pollution delhi record level sport pollution"
253,"Society","ngo support woman empowerment finance village ngo support woman empowerment finance village"
254,"Science","iit researcher develop technology renewable energy iit researcher develop technology renewable energy"
257,"Environment","solar river rejuvenation project gain momentum solar river rejuvenation project gain momentum"
259,"Business","rbi announce youth policy framework rbi announce youth policy framework"
260,"Science","woman research center receive national innovation award woman research center receive national innovation award"
261,"Politics","pm inaugurate solar project delhi pm inaugurate solar project delhi"
263,"Health","aiim doctor perform successful health surgery aiim doctor perform successful health surgery"
264,"Entertainment","tollywood industry rise digital genre movie tollywood industry rise digital genre movie"
266,"Science","india achieve milestone digital technology india achieve milestone digital technology"
270,"Environment","river river rejuvenation project gain momentum river river rejuvenation project gain momentum"
272,"Entertainment","oscar nomination indian documentary cyber oscar nomination indian documentary cyber"
273,"Society","government focus digital development program government focus digital development program"
274,"Technology","tcs introduce ai-driven river solution tcs introduce ai-driven river solution"
278,"Environment","ngo unite protect climate wildlife ngo unite protect climate wildlife"
281,"Society","ngo support woman empowerment health village ngo support woman empowerment health village"
282,"Science","isro plan mission explore woman planet isro plan mission explore woman planet"
285,"Sports","indian womenâ€™s team secure victory finance final indian womenâ€™s team secure victory finance final"
287,"Politics","government india introduce finance policy government india introduce finance policy"
288,"Entertainment","bollywood actor woman star blockbuster film bollywood actor woman star blockbuster film"
292,"Sports","bcci announce schedule climate tournament bcci announce schedule climate tournament"
294,"Politics","election commission announce poll space election commission announce poll space"
295,"Entertainment","tollywood industry rise climate genre movie tollywood industry rise climate genre movie"
296,"Sports","india defeat technology thrilling cricket match india defeat technology thrilling cricket match"
297,"Science","iit researcher develop solar renewable energy iit researcher develop solar renewable energy"
298,"Sports","virat kohli achieve milestone education run virat kohli achieve milestone education run"
299,"Politics","pm inaugurate digital project delhi pm inaugurate digital project delhi"
301,"Environment","forest restoration project begin climate region forest restoration project begin climate region"
306,"Health","india launch national sport vaccination drive india launch national sport vaccination drive"
307,"Technology","digital india initiative boost sport sector digital india initiative boost sport sector"
308,"Entertainment","bollywood actor technology star blockbuster film bollywood actor technology star blockbuster film"
309,"Business","rbi announce space policy framework rbi announce space policy framework"
311,"Business","river company expand operation india river company expand operation india"
312,"Politics","president approve solar reform bill president approve solar reform bill"
314,"Sports","bcci announce schedule solar tournament bcci announce schedule solar tournament"
315,"Politics","government india introduce digital policy government india introduce digital policy"
316,"Health","praise indiaâ€™s effort combate space praise indiaâ€™s effort combate space"
318,"Education","cbse implement climate curriculum school cbse implement climate curriculum school"
319,"Environment","forest restoration project begin river region forest restoration project begin river region"
323,"Education","ugc introduce guideline climate program ugc introduce guideline climate program"
324,"Health","aiim doctor perform successful climate surgery aiim doctor perform successful climate surgery"
326,"Entertainment","bollywood actor river star blockbuster film bollywood actor river star blockbuster film"
329,"Education","ugc introduce guideline woman program ugc introduce guideline woman program"
331,"Entertainment","bollywood actor youth star blockbuster film bollywood actor youth star blockbuster film"
332,"Education","cbse implement cyber curriculum school cbse implement cyber curriculum school"
333,"Sports","virat kohli achieve milestone finance run virat kohli achieve milestone finance run"
334,"Sports","woman win gold medal india asian games woman win gold medal india asian games"
335,"Science","isro plan mission explore finance planet isro plan mission explore finance planet"
336,"Science","isro plan mission explore digital planet isro plan mission explore digital planet"
337,"Environment","ngo unite protect woman wildlife ngo unite protect woman wildlife"
339,"Politics","government india introduce health policy government india introduce health policy"
340,"Business","sensex surge finance amid market optimism sensex surge finance amid market optimism"
342,"Science","india achieve milestone finance technology india achieve milestone finance technology"
343,"Politics","president approve technology reform bill president approve technology reform bill"
345,"Business","sensex surge cyber amid market optimism sensex surge cyber amid market optimism"
346,"Politics","government india introduce education policy government india introduce education policy"
348,"Business","india sign trade deal woman nation india sign trade deal woman nation"
350,"Sports","virat kohli achieve milestone technology run virat kohli achieve milestone technology run"
351,"Society","ngo support woman empowerment education village ngo support woman empowerment education village"
352,"Environment","woman river rejuvenation project gain momentum woman river rejuvenation project gain momentum"
355,"Technology","digital india initiative boost cyber sector digital india initiative boost cyber sector"
358,"Environment","sport river rejuvenation project gain momentum sport river rejuvenation project gain momentum"
359,"Sports","indian womenâ€™s team secure victory education final indian womenâ€™s team secure victory education final"
360,"Health","government announce cyber health scheme government announce cyber health scheme"
361,"Technology","digital india initiative boost climate sector digital india initiative boost climate sector"
363,"Technology","infosys partner cyber technology advancement infosys partner cyber technology advancement"
364,"Sports","river win gold medal india asian games river win gold medal india asian games"
366,"Sports","india defeat solar thrilling cricket match india defeat solar thrilling cricket match"
368,"Health","study reveal rise education india study reveal rise education india"
372,"Environment","digital river rejuvenation project gain momentum digital river rejuvenation project gain momentum"
373,"Environment","government launch space cleanup campaign government launch space cleanup campaign"
374,"Business","startup space sector attract global investor startup space sector attract global investor"
375,"Society","citizens protest digital issue mumbai citizens protest digital issue mumbai"
376,"Health","study reveal rise climate india study reveal rise climate india"
377,"Education","government launch digital scholarship student government launch digital scholarship student"
381,"Business","finance company expand operation india finance company expand operation india"
383,"Technology","indian startup develop sport app education indian startup develop sport app education"
384,"Society","river festival celebrate india joy river festival celebrate india joy"
385,"Health","india launch national cyber vaccination drive india launch national cyber vaccination drive"
388,"Science","iit researcher develop health renewable energy iit researcher develop health renewable energy"
389,"Business","india sign trade deal education nation india sign trade deal education nation"
390,"Health","government announce river health scheme government announce river health scheme"
391,"Politics","president approve youth reform bill president approve youth reform bill"
392,"Science","csir scientist discover health compound csir scientist discover health compound"
393,"Education","iit climate top nirf ranking engineering iit climate top nirf ranking engineering"
395,"Sports","virat kohli achieve milestone cyber run virat kohli achieve milestone cyber run"
396,"Technology","isro successfully launch cyber satellite isro successfully launch cyber satellite"
398,"Education","government launch finance scholarship student government launch finance scholarship student"
399,"Society","finance festival celebrate india joy finance festival celebrate india joy"
400,"Entertainment","indian music festival cyber draw massive crowd indian music festival cyber draw massive crowd"
401,"Society","citizens protest solar issue mumbai citizens protest solar issue mumbai"
402,"Education","government launch youth scholarship student government launch youth scholarship student"
406,"Entertainment","indian music festival technology draw massive crowd indian music festival technology draw massive crowd"
407,"Sports","bcci announce schedule education tournament bcci announce schedule education tournament"
408,"Environment","government launch finance cleanup campaign government launch finance cleanup campaign"
410,"Environment","climate river rejuvenation project gain momentum climate river rejuvenation project gain momentum"
411,"Education","national education policy focus youth learning national education policy focus youth learning"
412,"Politics","election commission announce poll health election commission announce poll health"
414,"Society","citizens protest climate issue mumbai citizens protest climate issue mumbai"
415,"Education","cbse implement health curriculum school cbse implement health curriculum school"
419,"Environment","delhi record level education pollution delhi record level education pollution"
420,"Technology","digital india initiative boost finance sector digital india initiative boost finance sector"
421,"Education","government launch education scholarship student government launch education scholarship student"
422,"Environment","government launch sport cleanup campaign government launch sport cleanup campaign"
423,"Entertainment","netflix release indian sport series netflix release indian sport series"
425,"Business","space company expand operation india space company expand operation india"
426,"Environment","ngo unite protect sport wildlife ngo unite protect sport wildlife"
427,"Health","aiim doctor perform successful technology surgery aiim doctor perform successful technology surgery"
429,"Society","youth volunteer organize sport awareness drive youth volunteer organize sport awareness drive"
430,"Society","ngo support woman empowerment cyber village ngo support woman empowerment cyber village"
436,"Society","health festival celebrate india joy health festival celebrate india joy"
439,"Business","startup health sector attract global investor startup health sector attract global investor"
440,"Society","government focus river development program government focus river development program"
