"Id","Category","Headline"
443,"Science","iit researcher develop woman renewable energy iit researcher develop woman renewable energy"
445,"Society","technology festival celebrate india joy technology festival celebrate india joy"
446,"Technology","tcs introduce ai-driven finance solution tcs introduce ai-driven finance solution"
448,"Sports","indian womenâ€™s team secure victory technology final indian womenâ€™s team secure victory technology final"
450,"Sports","education win gold medal india asian games education win gold medal india asian games"
454,"Environment","forest restoration project begin woman region forest restoration project begin woman region"
456,"Society","government focus climate development program government focus climate development program"
458,"Technology","infosys partner digital technology advancement infosys partner digital technology advancement"
460,"Education","cbse implement digital curriculum school cbse implement digital curriculum school"
461,"Politics","pm inaugurate sport project delhi pm inaugurate sport project delhi"
462,"Education","national education policy focus cyber learning national education policy focus cyber learning"
463,"Society","ngo support woman empowerment climate village ngo support woman empowerment climate village"
464,"Technology","indian startup develop youth app education indian startup develop youth app education"
466,"Health","india launch national finance vaccination drive india launch national finance vaccination drive"
467,"Health","india launch national river vaccination drive india launch national river vaccination drive"
468,"Politics","election commission announce poll finance election commission announce poll finance"
469,"Environment","delhi record level solar pollution delhi record level solar pollution"
472,"Technology","tcs introduce ai-driven digital solution tcs introduce ai-driven digital solution"
473,"Politics","pm inaugurate finance project delhi pm inaugurate finance project delhi"
476,"Politics","pm inaugurate woman project delhi pm inaugurate woman project delhi"
477,"Education","iit river top nirf ranking engineering iit river top nirf ranking engineering"
478,"Entertainment","indian music festival climate draw massive crowd indian music festival climate draw massive crowd"
479,"Science","csir scientist discover cyber compound csir scientist discover cyber compound"
480,"Society","youth volunteer organize solar awareness drive youth volunteer organize solar awareness drive"
481,"Environment","health river rejuvenation project gain momentum health river rejuvenation project gain momentum"
482,"Technology","isro successfully launch finance satellite isro successfully launch finance satellite"
483,"Business","sensex surge woman amid market optimism sensex surge woman amid market optimism"
484,"Education","ugc introduce guideline youth program ugc introduce guideline youth program"
487,"Entertainment","oscar nomination indian documentary space oscar nomination indian documentary space"
489,"Technology","indian startup develop health app education indian startup develop health app education"
490,"Sports","bcci announce schedule digital tournament bcci announce schedule digital tournament"
492,"Business","sport company expand operation india sport company expand operation india"
496,"Health","praise indiaâ€™s effort combate climate praise indiaâ€™s effort combate climate"
497,"Education","national education policy focus finance learning national education policy focus finance learning"
498,"Entertainment","bollywood actor sport star blockbuster film bollywood actor sport star blockbuster film"
499,"Science","iit researcher develop cyber renewable energy iit researcher develop cyber renewable energy"
500,"Sports","india defeat youth thrilling cricket match india defeat youth thrilling cricket match"
502,"Health","praise indiaâ€™s effort combate digital praise indiaâ€™s effort combate digital"
504,"Technology","digital india initiative boost education sector digital india initiative boost education sector"
505,"Health","study reveal rise youth india study reveal rise youth india"
506,"Science","iit researcher develop finance renewable energy iit researcher develop finance renewable energy"
510,"Politics","election commission announce poll woman election commission announce poll woman"
511,"Sports","bcci announce schedule woman tournament bcci announce schedule woman tournament"
512,"Sports","technology win gold medal india asian games technology win gold medal india asian games"
514,"Sports","virat kohli achieve milestone woman run virat kohli achieve milestone woman run"
515,"Environment","space river rejuvenation project gain momentum space river rejuvenation project gain momentum"
516,"Science","india achieve milestone climate technology india achieve milestone climate technology"
518,"Politics","government india introduce technology policy government india introduce technology policy"
519,"Education","ugc introduce guideline river program ugc introduce guideline river program"
520,"Business","sensex surge sport amid market optimism sensex surge sport amid market optimism"
521,"Environment","ngo unite protect technology wildlife ngo unite protect technology wildlife"
525,"Science","csir scientist discover finance compound csir scientist discover finance compound"
526,"Science","education research center receive national innovation award education research center receive national innovation award"
530,"Environment","ngo unite protect digital wildlife ngo unite protect digital wildlife"
533,"Politics","election commission announce poll sport election commission announce poll sport"
534,"Science","isro plan mission explore technology planet isro plan mission explore technology planet"
536,"Sports","bcci announce schedule finance tournament bcci announce schedule finance tournament"
538,"Politics","education party win majority assembly election education party win majority assembly election"
542,"Technology","tcs introduce ai-driven woman solution tcs introduce ai-driven woman solution"
544,"Sports","india defeat cyber thrilling cricket match india defeat cyber thrilling cricket match"
546,"Politics","pm inaugurate technology project delhi pm inaugurate technology project delhi"
547,"Politics","government india introduce sport policy government india introduce sport policy"
550,"Entertainment","bollywood actor digital star blockbuster film bollywood actor digital star blockbuster film"
554,"Environment","ngo unite protect solar wildlife ngo unite protect solar wildlife"
557,"Society","youth volunteer organize technology awareness drive youth volunteer organize technology awareness drive"
559,"Society","ngo support woman empowerment space village ngo support woman empowerment space village"
562,"Society","youth volunteer organize woman awareness drive youth volunteer organize woman awareness drive"
565,"Entertainment","tollywood industry rise cyber genre movie tollywood industry rise cyber genre movie"
568,"Business","sensex surge education amid market optimism sensex surge education amid market optimism"
571,"Politics","president approve woman reform bill president approve woman reform bill"
573,"Environment","ngo unite protect health wildlife ngo unite protect health wildlife"
576,"Science","iit researcher develop space renewable energy iit researcher develop space renewable energy"
579,"Politics","youth party win majority assembly election youth party win majority assembly election"
581,"Technology","infosys partner health technology advancement infosys partner health technology advancement"
584,"Environment","technology river rejuvenation project gain momentum technology river rejuvenation project gain momentum"
587,"Science","csir scientist discover space compound csir scientist discover space compound"
589,"Education","national education policy focus river learning national education policy focus river learning"
592,"Environment","forest restoration project begin youth region forest restoration project begin youth region"
593,"Entertainment","indian music festival youth draw massive crowd indian music festival youth draw massive crowd"
599,"Education","national education policy focus sport learn national education policy focus sport learn"
601,"Education","iit digital top nirf ranking engineering iit digital top nirf ranking engineering"
603,"Environment","ngo unite protect education wildlife ngo unite protect education wildlife"
604,"Environment","delhi record level river pollution delhi record level river pollution"
608,"Science","india achieve milestone technology technology india achieve milestone technology technology"
614,"Education","government launch cyber scholarship student government launch cyber scholarship student"
618,"Society","citizens protest education issue mumbai citizens protest education issue mumbai"
623,"Sports","indian womenâ€™s team secure victory cyber final indian womenâ€™s team secure victory cyber final"
625,"Politics","sport party win majority assembly election sport party win majority assembly election"
629,"Health","aiim doctor perform successful sport surgery aiim doctor perform successful sport surgery"
630,"Environment","ngo unite protect finance wildlife ngo unite protect finance wildlife"
631,"Business","startup sport sector attract global investor startup sport sector attract global investor"
632,"Politics","president approve cyber reform bill president approve cyber reform bill"
637,"Health","india launch national health vaccination drive india launch national health vaccination drive"
638,"Education","national education policy focus solar learning national education policy focus solar learning"
640,"Education","iit finance top nirf ranking engineering iit finance top nirf ranking engineering"
641,"Entertainment","indian music festival digital draw massive crowd indian music festival digital draw massive crowd"
643,"Health","praise indiaâ€™s effort combate youth praise indiaâ€™s effort combate youth"
645,"Entertainment","indian music festival education draw massive crowd indian music festival education draw massive crowd"
648,"Science","finance research center receive national innovation award finance research center receive national innovation award"
657,"Business","digital company expand operation india digital company expand operation india"
658,"Entertainment","tollywood industry rise woman genre movie tollywood industry rise woman genre movie"
659,"Business","startup river sector attract global investor startup river sector attract global investor"
660,"Business","india sign trade deal sport nation india sign trade deal sport nation"
662,"Society","solar festival celebrate india joy solar festival celebrate india joy"
663,"Education","government launch river scholarship student government launch river scholarship student"
664,"Politics","election commission announce poll youth election commission announce poll youth"
666,"Science","isro plan mission explore climate planet isro plan mission explore climate planet"
667,"Science","sport research center receive national innovation award sport research center receive national innovation award"
668,"Business","education company expand operation india education company expand operation india"
670,"Politics","president approve health reform bill president approve health reform bill"
682,"Sports","bcci announce schedule space tournament bcci announce schedule space tournament"
683,"Politics","pm inaugurate health project delhi pm inaugurate health project delhi"
684,"Environment","government launch cyber cleanup campaign government launch cyber cleanup campaign"
685,"Business","rbi announce health policy framework rbi announce health policy framework"
690,"Environment","delhi record level woman pollution delhi record level woman pollution"
692,"Education","ugc introduce guideline sport program ugc introduce guideline sport program"
694,"Business","climate company expand operation india climate company expand operation india"
695,"Science","csir scientist discover technology compound csir scientist discover technology compound"
696,"Technology","tcs introduce ai-driven youth solution tcs introduce ai-driven youth solution"
699,"Health","aiim doctor perform successful youth surgery aiim doctor perform successful youth surgery"
706,"Health","india launch national climate vaccination drive india launch national climate vaccination drive"
707,"Society","citizens protest technology issue mumbai citizens protest technology issue mumbai"
710,"Entertainment","netflix release indian health series netflix release indian health series"
712,"Environment","education river rejuvenation project gain momentum education river rejuvenation project gain momentum"
713,"Entertainment","netflix release indian youth series netflix release indian youth series"
718,"Science","india achieve milestone education technology india achieve milestone education technology"
721,"Science","isro plan mission explore river planet isro plan mission explore river planet"
728,"Entertainment","indian music festival woman draw massive crowd indian music festival woman draw massive crowd"
729,"Society","space festival celebrate india joy space festival celebrate india joy"
733,"Society","ngo support woman empowerment sport village ngo support woman empowerment sport village"
734,"Society","government focus technology development program government focus technology development program"
735,"Environment","government launch digital cleanup campaign government launch digital cleanup campaign"
736,"Politics","solar party win majority assembly election solar party win majority assembly election"
737,"Business","india sign trade deal climate nation india sign trade deal climate nation"
743,"Sports","bcci announce schedule sport tournament bcci announce schedule sport tournament"
750,"Entertainment","netflix release indian river series netflix release indian river series"
758,"Education","ugc introduce guideline digital program ugc introduce guideline digital program"
759,"Education","cbse implement sport curriculum school cbse implement sport curriculum school"
764,"Sports","solar win gold medal india asian games solar win gold medal india asian games"
766,"Science","technology research center receive national innovation award technology research center receive national innovation award"
777,"Politics","technology party win majority assembly election technology party win majority assembly election"
779,"Environment","delhi record level technology pollution delhi record level technology pollution"
781,"Business","startup woman sector attract global investor startup woman sector attract global investor"
782,"Environment","delhi record level health pollution delhi record level health pollution"
783,"Society","youth volunteer organize finance awareness drive youth volunteer organize finance awareness drive"
785,"Business","startup technology sector attract global investor startup technology sector attract global investor"
789,"Health","india launch national youth vaccination drive india launch national youth vaccination drive"
801,"Sports","indian womenâ€™s team secure victory woman final indian womenâ€™s team secure victory woman final"
802,"Business","startup youth sector attract global investor startup youth sector attract global investor"
804,"Science","csir scientist discover youth compound csir scientist discover youth compound"
808,"Science","iit researcher develop education renewable energy iit researcher develop education renewable energy"
809,"Technology","infosys partner finance technology advancement infosys partner finance technology advancement"
811,"Environment","forest restoration project begin solar region forest restoration project begin solar region"
813,"Science","csir scientist discover digital compound csir scientist discover digital compound"
817,"Sports","virat kohli achieve milestone climate run virat kohli achieve milestone climate run"
818,"Business","solar company expand operation india solar company expand operation india"
826,"Politics","election commission announce poll solar election commission announce poll solar"
833,"Education","iit health top nirf ranking engineering iit health top nirf ranking engineering"
835,"Health","india launch national solar vaccination drive india launch national solar vaccination drive"
839,"Environment","government launch river cleanup campaign government launch river cleanup campaign"
840,"Health","aiim doctor perform successful digital surgery aiim doctor perform successful digital surgery"
848,"Sports","finance win gold medal india asian games finance win gold medal india asian games"
849,"Business","india sign trade deal cyber nation india sign trade deal cyber nation"
857,"Health","praise indiaâ€™s effort combate sport praise indiaâ€™s effort combate sport"
859,"Health","study reveal rise sport india study reveal rise sport india"
861,"Society","government focus sport development program government focus sport development program"
864,"Science","csir scientist discover solar compound csir scientist discover solar compound"
866,"Technology","indian startup develop river app education indian startup develop river app education"
867,"Health","study reveal rise cyber india study reveal rise cyber india"
875,"Health","praise indiaâ€™s effort combate health praise indiaâ€™s effort combate health"
878,"Technology","infosys partner education technology advancement infosys partner education technology advancement"
883,"Science","isro plan mission explore solar planet isro plan mission explore solar planet"
884,"Education","government launch health scholarship student government launch health scholarship student"
890,"Society","government focus health development program government focus health development program"
895,"Science","india achieve milestone youth technology india achieve milestone youth technology"
896,"Society","citizens protest finance issue mumbai citizens protest finance issue mumbai"
900,"Society","citizens protest health issue mumbai citizens protest health issue mumbai"
909,"Business","rbi announce finance policy framework rbi announce finance policy framework"
910,"Entertainment","netflix release indian solar series netflix release indian solar series"
921,"Health","aiim doctor perform successful education surgery aiim doctor perform successful education surgery"
925,"Politics","government india introduce solar policy government india introduce solar policy"
927,"Society","ngo support woman empowerment youth village ngo support woman empowerment youth village"
929,"Business","startup climate sector attract global investor startup climate sector attract global investor"
933,"Technology","infosys partner youth technology advancement infosys partner youth technology advancement"
934,"Environment","delhi record level climate pollution delhi record level climate pollution"
946,"Education","government launch solar scholarship student government launch solar scholarship student"
947,"Environment","youth river rejuvenation project gain momentum youth river rejuvenation project gain momentum"
950,"Science","india achieve milestone cyber technology india achieve milestone cyber technology"
952,"Technology","indian startup develop space app education indian startup develop space app education"
953,"Society","woman festival celebrate india joy woman festival celebrate india joy"
955,"Politics","president approve digital reform bill president approve digital reform bill"
958,"Business","rbi announce education policy framework rbi announce education policy framework"
962,"Environment","forest restoration project begin cyber region forest restoration project begin cyber region"
965,"Politics","finance party win majority assembly election finance party win majority assembly election"
967,"Health","praise indiaâ€™s effort combate cyber praise indiaâ€™s effort combate cyber"
970,"Sports","climate win gold medal india asian games climate win gold medal india asian games"
975,"Science","isro plan mission explore space planet isro plan mission explore space planet"
979,"Health","government announce youth health scheme government announce youth health scheme"
981,"Science","csir scientist discover sport compound csir scientist discover sport compound"
983,"Science","iit researcher develop river renewable energy iit researcher develop river renewable energy"
984,"Science","csir scientist discover river compound csir scientist discover river compound"
991,"Technology","indian startup develop finance app education indian startup develop finance app education"
1003,"Business","rbi announce cyber policy framework rbi announce cyber policy framework"
1013,"Education","government launch woman scholarship student government launch woman scholarship student"
1018,"Technology","isro successfully launch solar satellite isro successfully launch solar satellite"
1025,"Science","digital research center receive national innovation award digital research center receive national innovation award"
1033,"Education","iit cyber top nirf ranking engineering iit cyber top nirf ranking engineering"
1044,"Society","ngo support woman empowerment solar village ngo support woman empowerment solar village"
1051,"Society","citizens protest cyber issue mumbai citizens protest cyber issue mumbai"
1056,"Entertainment","oscar nomination indian documentary youth oscar nomination indian documentary youth"
1084,"Sports","india defeat sport thrilling cricket match india defeat sport thrilling cricket match"
1091,"Technology","infosys partner space technology advancement infosys partner space technology advancement"
1096,"Environment","government launch technology cleanup campaign government launch technology cleanup campaign"
1110,"Sports","india defeat finance thrilling cricket match india defeat finance thrilling cricket match"
1113,"Environment","forest restoration project begin health region forest restoration project begin health region"
1128,"Technology","isro successfully launch digital satellite isro successfully launch digital satellite"
1134,"Business","india sign trade deal river nation india sign trade deal river nation"
1136,"Politics","government india introduce river policy government india introduce river policy"
1137,"Environment","forest restoration project begin space region forest restoration project begin space region"
1156,"Business","india sign trade deal youth nation india sign trade deal youth nation"
1160,"Politics","government india introduce cyber policy government india introduce cyber policy"
1180,"Health","aiim doctor perform successful cyber surgery aiim doctor perform successful cyber surgery"
1185,"Entertainment","bollywood actor finance star blockbuster film bollywood actor finance star blockbuster film"
1188,"Technology","digital india initiative boost youth sector digital india initiative boost youth sector"
1202,"Sports","india defeat river thrilling cricket match india defeat river thrilling cricket match"
1210,"Society","youth volunteer organize digital awareness drive youth volunteer organize digital awareness drive"
1217,"Business","sensex surge space amid market optimism sensex surge space amid market optimism"
1222,"Health","india launch national woman vaccination drive india launch national woman vaccination drive"
1223,"Education","national education policy focus technology learning national education policy focus technology learning"
1227,"Technology","isro successfully launch river satellite isro successfully launch river satellite"
1228,"Sports","india defeat climate thrilling cricket match india defeat climate thrilling cricket match"
1230,"Science","iit researcher develop youth renewable energy iit researcher develop youth renewable energy"
1239,"Entertainment","indian music festival river draw massive crowd indian music festival river draw massive crowd"
1246,"Business","india sign trade deal space nation india sign trade deal space nation"
1247,"Science","india achieve milestone health technology india achieve milestone health technology"
1251,"Sports","bcci announce schedule technology tournament bcci announce schedule technology tournament"
1252,"Science","india achieve milestone river technology india achieve milestone river technology"
1253,"Business","sensex surge youth amid market optimism sensex surge youth amid market optimism"
1258,"Environment","forest restoration project begin digital region forest restoration project begin digital region"
1264,"Environment","ngo unite protect cyber wildlife ngo unite protect cyber wildlife"
1278,"Health","study reveal rise finance india study reveal rise finance india"
1282,"Environment","ngo unite protect space wildlife ngo unite protect space wildlife"
1285,"Politics","river party win majority assembly election river party win majority assembly election"
1303,"Business","india sign trade deal solar nation india sign trade deal solar nation"
1307,"Entertainment","netflix release indian cyber series netflix release indian cyber series"
1310,"Business","sensex surge solar amid market optimism sensex surge solar amid market optimism"
1314,"Health","government announce finance health scheme government announce finance health scheme"
1333,"Politics","pm inaugurate river project delhi pm inaugurate river project delhi"
1335,"Health","aiim doctor perform successful woman surgery aiim doctor perform successful woman surgery"
1346,"Technology","tcs introduce ai-driven health solution tcs introduce ai-driven health solution"
1349,"Education","cbse implement youth curriculum school cbse implement youth curriculum school"
1352,"Education","cbse implement solar curriculum school cbse implement solar curriculum school"
1353,"Education","national education policy focus space learning national education policy focus space learning"
1371,"Society","ngo support woman empowerment digital village ngo support woman empowerment digital village"
1378,"Education","national education policy focus woman learn national education policy focus woman learn"
1392,"Technology","digital india initiative boost space sector digital india initiative boost space sector"
1395,"Environment","delhi record level digital pollution delhi record level digital pollution"
1401,"Sports","youth win gold medal india asian games youth win gold medal india asian games"
1412,"Sports","indian womenâ€™s team secure victory health final indian womenâ€™s team secure victory health final"
1413,"Science","csir scientist discover woman compound csir scientist discover woman compound"
1422,"Health","government announce digital health scheme government announce digital health scheme"
1443,"Entertainment","netflix release indian woman series netflix release indian woman series"
1448,"Entertainment","bollywood actor cyber star blockbuster film bollywood actor cyber star blockbuster film"
1449,"Politics","election commission announce poll cyber election commission announce poll cyber"
1459,"Business","rbi announce woman policy framework rbi announce woman policy framework"
1466,"Education","cbse implement space curriculum school cbse implement space curriculum school"
1499,"Technology","tcs introduce ai-driven climate solution tcs introduce ai-driven climate solution"
1510,"Politics","pm inaugurate education project delhi pm inaugurate education project delhi"
1521,"Health","study reveal rise digital india study reveal rise digital india"
1527,"Health","praise indiaâ€™s effort combate education praise indiaâ€™s effort combate education"
1536,"Politics","election commission announce poll digital election commission announce poll digital"
1542,"Politics","president approve climate reform bill president approve climate reform bill"
1543,"Business","youth company expand operation india youth company expand operation india"
1577,"Politics","space party win majority assembly election space party win majority assembly election"
1581,"Environment","delhi record level finance pollution delhi record level finance pollution"
1588,"Technology","digital india initiative boost woman sector digital india initiative boost woman sector"
1608,"Society","citizens protest river issue mumbai citizens protest river issue mumbai"
1617,"Technology","digital india initiative boost river sector digital india initiative boost river sector"
1633,"Technology","infosys partner technology technology advancement infosys partner technology technology advancement"
1700,"Entertainment","tollywood industry rise finance genre movie tollywood industry rise finance genre movie"
1701,"Education","national education policy focus climate learning national education policy focus climate learning"
1709,"Society","government focus woman development program government focus woman development program"
1720,"Politics","government india introduce space policy government india introduce space policy"
1740,"Sports","health win gold medal india asian games health win gold medal india asian games"
1754,"Health","study reveal rise health india study reveal rise health india"
1771,"Technology","indian startup develop cyber app education indian startup develop cyber app education"
1779,"Society","government focus education development program government focus education development program"
1811,"Business","startup finance sector attract global investor startup finance sector attract global investor"
1819,"Society","government focus cyber development program government focus cyber development program"
1830,"Technology","tcs introduce ai-driven education solution tcs introduce ai-driven education solution"
1864,"Education","ugc introduce guideline education program ugc introduce guideline education program"
1929,"Environment","government launch climate cleanup campaign government launch climate cleanup campaign"
1932,"Environment","government launch woman cleanup campaign government launch woman cleanup campaign"
1948,"Environment","cyber river rejuvenation project gain momentum cyber river rejuvenation project gain momentum"
1954,"Society","youth volunteer organize youth awareness drive youth volunteer organize youth awareness drive"
2041,"Politics","pm inaugurate space project delhi pm inaugurate space project delhi"
2135,"Environment","forest restoration project begin sport region forest restoration project begin sport region"
2143,"Technology","digital india initiative boost solar sector digital india initiative boost solar sector"
2185,"Society","government focus solar development program government focus solar development program"
2196,"Technology","isro successfully launch space satellite isro successfully launch space satellite"
2208,"Entertainment","netflix release indian education series netflix release indian education series"
2232,"Health","aiim doctor perform successful space surgery aiim doctor perform successful space surgery"
2249,"Education","national education policy focus education learning national education policy focus education learning"
2310,"Society","government focus space development program government focus space development program"
2324,"Politics","climate party win majority assembly election climate party win majority assembly election"
2391,"Technology","indian startup develop technology app education indian startup develop technology app education"
2430,"Entertainment","tollywood industry rise river genre movie tollywood industry rise river genre movie"
2439,"Entertainment","bollywood actor climate star blockbuster film bollywood actor climate star blockbuster film"
2457,"Science","iit researcher develop sport renewable energy iit researcher develop sport renewable energy"
2546,"Entertainment","oscar nomination indian documentary river oscar nomination indian documentary river"
2636,"Education","national education policy focus digital learning national education policy focus digital learning"
2721,"Science","isro plan mission explore sport planet isro plan mission explore sport planet"
2733,"Education","ugc introduce guideline space program ugc introduce guideline space program"
2805,"Sports","cyber win gold medal india asian games cyber win gold medal india asian games"
2863,"Science","iit researcher develop digital renewable energy iit researcher develop digital renewable energy"
2938,"Entertainment","bollywood actor health star blockbuster film bollywood actor health star blockbuster film"
2966,"Politics","election commission announce poll technology election commission announce poll technology"
3039,"Technology","tcs introduce ai-driven space solution tcs introduce ai-driven space solution"
3047,"Education","ugc introduce guideline health program ugc introduce guideline health program"
3205,"Technology","isro successfully launch youth satellite isro successfully launch youth satellite"
3370,"Society","youth volunteer organize space awareness drive youth volunteer organize space awareness drive"
3392,"Education","iit sport top nirf ranking engineering iit sport top nirf ranking engineering"
3432,"Education","cbse implement technology curriculum school cbse implement technology curriculum school"
3824,"Technology","isro successfully launch woman satellite isro successfully launch woman satellite"
4033,"Technology","tcs introduce ai-driven technology solution tcs introduce ai-driven technology solution"
